fen,move,eval_before,eval_after,delta,label
r2qkbnr/ppp3pp/2npbp2/4pP2/4P3/2NP1N2/PPP3PP/R1BQKB1R b KQkq - 0 6,Bf7,105,115,10,1
r2qkbnr/ppp2bpp/2np1p2/4pP2/4P3/2NP1N2/PPP3PP/R1BQKB1R w KQkq - 1 7,g4,127,-42,-169,0
r2qkbnr/ppp2bpp/2np1p2/4pP2/4P1P1/2NP1N2/PPP4P/R1BQKB1R b KQkq - 0 7,Nge7,-24,30,54,1
r2qkb1r/ppp1nbpp/2np1p2/4pP2/4P1P1/2NP1N2/PPP4P/R1BQKB1R w KQkq - 1 8,h4,29,-53,-82,1
r2qkb1r/ppp1nbpp/2np1p2/4pP2/4P1PP/2NP1N2/PPP5/R1BQKB1R b KQkq - 0 8,d5,-59,-78,-19,1
r2qkb1r/ppp1nbpp/2n2p2/3ppP2/4P1PP/2NP1N2/PPP5/R1BQKB1R w KQkq - 0 9,Bd2,-60,-93,-33,1
r2qkb1r/ppp1nbpp/2n2p2/3ppP2/4P1PP/2NP1N2/PPPB4/R2QKB1R b KQkq - 1 9,d4,-94,19,113,1
r2qkb1r/ppp1nbpp/2n2p2/4pP2/3pP1PP/2NP1N2/PPPB4/R2QKB1R w KQkq - 0 10,Ne2,12,6,-6,1
r2qkb1r/ppp1nbpp/2n2p2/4pP2/3pP1PP/3P1N2/PPPBN3/R2QKB1R b KQkq - 1 10,Qd7,-13,46,59,1
r3kb1r/pppqnbpp/2n2p2/4pP2/3pP1PP/3P1N2/PPPBN3/R2QKB1R w KQkq - 2 11,c3,69,-92,-161,0
r3kb1r/pppqnbpp/2n2p2/4pP2/3pP1PP/2PP1N2/PP1BN3/R2QKB1R b KQkq - 0 11,dxc3,-102,-117,-15,1
r3kb1r/pppqnbpp/2n2p2/4pP2/4P1PP/2pP1N2/PP1BN3/R2QKB1R w KQkq - 0 12,Bxc3,-118,-87,31,1
r3kb1r/pppqnbpp/2n2p2/4pP2/4P1PP/2BP1N2/PP2N3/R2QKB1R b KQkq - 0 12,O-O-O,-126,-116,10,1
2kr1b1r/pppqnbpp/2n2p2/4pP2/4P1PP/2BP1N2/PP2N3/R2QKB1R w KQ - 1 13,h5,-118,-154,-36,1
2kr1b1r/pppqnbpp/2n2p2/4pP1P/4P1P1/2BP1N2/PP2N3/R2QKB1R b KQ - 0 13,Kb8,-152,-152,0,1
1k1r1b1r/pppqnbpp/2n2p2/4pP1P/4P1P1/2BP1N2/PP2N3/R2QKB1R w KQ - 1 14,Nc1,-140,-173,-33,1
1k1r1b1r/pppqnbpp/2n2p2/4pP1P/4P1P1/2BP1N2/PP6/R1NQKB1R b KQ - 2 14,Nc8,-180,-178,2,1
1knr1b1r/pppq1bpp/2n2p2/4pP1P/4P1P1/2BP1N2/PP6/R1NQKB1R w KQ - 3 15,h6,-177,-258,-81,1
1knr1b1r/pppq1bpp/2n2p1P/4pP2/4P1P1/2BP1N2/PP6/R1NQKB1R b KQ - 0 15,g6,-261,-238,23,1
1knr1b1r/pppq1b1p/2n2ppP/4pP2/4P1P1/2BP1N2/PP6/R1NQKB1R w KQ - 0 16,g5,-234,-357,-123,0
1knr1b1r/pppq1b1p/2n2ppP/4pPP1/4P3/2BP1N2/PP6/R1NQKB1R b KQ - 0 16,fxg5,-325,-229,96,1
1knr1b1r/pppq1b1p/2n3pP/4pPp1/4P3/2BP1N2/PP6/R1NQKB1R w KQ - 0 17,fxg6,-215,-272,-57,1
1knr1b1r/pppq1b1p/2n3PP/4p1p1/4P3/2BP1N2/PP6/R1NQKB1R b KQ - 0 17,Bxg6,-295,-297,-2,1
1knr1b1r/pppq3p/2n3bP/4p1p1/4P3/2BP1N2/PP6/R1NQKB1R w KQ - 0 18,Nxg5,-290,-300,-10,1
1knr1b1r/pppq3p/2n3bP/4p1N1/4P3/2BP4/PP6/R1NQKB1R b KQ - 0 18,Nb4,-288,-221,67,1
1knr1b1r/pppq3p/6bP/4p1N1/1n2P3/2BP4/PP6/R1NQKB1R w KQ - 1 19,Qf3,-204,-363,-159,0
1knr1b1r/pppq3p/6bP/4p1N1/1n2P3/2BP1Q2/PP6/R1N1KB1R b KQ - 2 19,Nc2+,-364,-359,5,1
1knr1b1r/pppq3p/6bP/4p1N1/4P3/2BP1Q2/PPn5/R1N1KB1R w KQ - 3 20,Kd2,-344,-399,-55,1
1knr1b1r/pppq3p/6bP/4p1N1/4P3/2BP1Q2/PPnK4/R1N2B1R b - - 4 20,Nxa1,-415,-375,40,1
1knr1b1r/pppq3p/6bP/4p1N1/4P3/2BP1Q2/PP1K4/n1N2B1R w - - 0 21,Bh3,-394,-426,-32,1
1knr1b1r/pppq3p/6bP/4p1N1/4P3/2BP1Q1B/PP1K4/n1N4R b - - 1 21,Qa4,-421,-465,-44,1
1knr1b1r/ppp4p/6bP/4p1N1/q3P3/2BP1Q1B/PP1K4/n1N4R w - - 2 22,Ne6,-423,-526,-103,0
1knr1b1r/ppp4p/4N1bP/4p3/q3P3/2BP1Q1B/PP1K4/n1N4R b - - 3 22,Rd6,-552,-390,162,1
1kn2b1r/ppp4p/3rN1bP/4p3/q3P3/2BP1Q1B/PP1K4/n1N4R w - - 4 23,Nc5,-427,-530,-103,0
1kn2b1r/ppp4p/3r2bP/2N1p3/q3P3/2BP1Q1B/PP1K4/n1N4R b - - 5 23,Qc2+,-603,-612,-9,1
1kn2b1r/ppp4p/3r2bP/2N1p3/4P3/2BP1Q1B/PPqK4/n1N4R w - - 6 24,Ke3,-600,-9994,-9394,0
1kn2b1r/ppp4p/3r2bP/2N1p3/4P3/2BPKQ1B/PPq5/n1N4R b - - 7 24,Bxh6+,-9994,-9995,-1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,28,22,-6,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5,11,12,1,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,27,10,-17,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Nc6,10,31,21,1
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Bc4,31,-9,-40,1
r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,g6,-5,50,55,1
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,O-O,44,31,-13,1
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,Bg7,24,55,31,1
r1bqk1nr/pp1pppbp/2n3p1/2p5/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,c3,30,49,19,1
r1bqk1nr/pp1pppbp/2n3p1/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5,d6,39,48,9,1
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 0 6,d4,58,52,-6,1
r1bqk1nr/pp2ppbp/2np2p1/2p5/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b kq - 0 6,cxd4,51,79,28,1
r1bqk1nr/pp2ppbp/2np2p1/8/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 w kq - 0 7,cxd4,80,67,-13,1
r1bqk1nr/pp2ppbp/2np2p1/8/2BPP3/5N2/PP3PPP/RNBQ1RK1 b kq - 0 7,Nf6,40,69,29,1
r1bqk2r/pp2ppbp/2np1np1/8/2BPP3/5N2/PP3PPP/RNBQ1RK1 w kq - 1 8,d5,68,51,-17,1
r1bqk2r/pp2ppbp/2np1np1/3P4/2B1P3/5N2/PP3PPP/RNBQ1RK1 b kq - 0 8,Ne5,49,66,17,1
r1bqk2r/pp2ppbp/3p1np1/3Pn3/2B1P3/5N2/PP3PPP/RNBQ1RK1 w kq - 1 9,Nxe5,86,86,0,1
r1bqk2r/pp2ppbp/3p1np1/3PN3/2B1P3/8/PP3PPP/RNBQ1RK1 b kq - 0 9,dxe5,80,91,11,1
r1bqk2r/pp2ppbp/5np1/3Pp3/2B1P3/8/PP3PPP/RNBQ1RK1 w kq - 0 10,d6,76,-22,-98,1
r1bqk2r/pp2ppbp/3P1np1/4p3/2B1P3/8/PP3PPP/RNBQ1RK1 b kq - 0 10,exd6,-15,54,69,1
r1bqk2r/pp3pbp/3p1np1/4p3/2B1P3/8/PP3PPP/RNBQ1RK1 w kq - 0 11,Bb5+,22,-34,-56,1
r1bqk2r/pp3pbp/3p1np1/1B2p3/4P3/8/PP3PPP/RNBQ1RK1 b kq - 1 11,Bd7,-24,-8,16,1
r2qk2r/pp1b1pbp/3p1np1/1B2p3/4P3/8/PP3PPP/RNBQ1RK1 w kq - 2 12,Qxd6,-12,-35,-23,1
r2qk2r/pp1b1pbp/3Q1np1/1B2p3/4P3/8/PP3PPP/RNB2RK1 b kq - 0 12,Qe7,-45,44,89,1
r3k2r/pp1bqpbp/3Q1np1/1B2p3/4P3/8/PP3PPP/RNB2RK1 w kq - 1 13,Bxd7+,56,40,-16,1
r3k2r/pp1Bqpbp/3Q1np1/4p3/4P3/8/PP3PPP/RNB2RK1 b kq - 0 13,Qxd7,31,141,110,1
r3k2r/pp1q1pbp/3Q1np1/4p3/4P3/8/PP3PPP/RNB2RK1 w kq - 0 14,Qxe5+,128,116,-12,1
r3k2r/pp1q1pbp/5np1/4Q3/4P3/8/PP3PPP/RNB2RK1 b kq - 0 14,Qe7,127,151,24,1
r3k2r/pp2qpbp/5np1/4Q3/4P3/8/PP3PPP/RNB2RK1 w kq - 1 15,Qb5+,162,123,-39,1
r3k2r/pp2qpbp/5np1/1Q6/4P3/8/PP3PPP/RNB2RK1 b kq - 2 15,Qd7,124,119,-5,1
r3k2r/pp1q1pbp/5np1/1Q6/4P3/8/PP3PPP/RNB2RK1 w kq - 3 16,Qxd7+,125,86,-39,1
r3k2r/pp1Q1pbp/5np1/8/4P3/8/PP3PPP/RNB2RK1 b kq - 0 16,Kxd7,82,164,82,1
r6r/pp1k1pbp/5np1/8/4P3/8/PP3PPP/RNB2RK1 w - - 0 17,Nc3,160,159,-1,1
r6r/pp1k1pbp/5np1/8/4P3/2N5/PP3PPP/R1B2RK1 b - - 1 17,Ke7,141,250,109,1
r6r/pp2kpbp/5np1/8/4P3/2N5/PP3PPP/R1B2RK1 w - - 2 18,Bg5,254,296,42,1
r6r/pp2kpbp/5np1/6B1/4P3/2N5/PP3PPP/R4RK1 b - - 3 18,Ke6,283,268,-15,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,c3,26,-14,-40,1
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,Nf6,-13,8,21,1
rnbqkb1r/pppppppp/5n2/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 1 2,d4,14,8,-6,1
rnbqkb1r/pppppppp/5n2/8/3P4/2P5/PP2PPPP/RNBQKBNR b KQkq - 0 2,d5,10,11,1,1
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2P5/PP2PPPP/RNBQKBNR w KQkq - 0 3,Bf4,1,-7,-8,1
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 1 3,e6,-5,13,18,1
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/2P5/PP2PPPP/RN1QKBNR w KQkq - 0 4,e3,21,18,-3,1
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 4,c5,12,14,2,1
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQkq - 0 5,dxc5,15,-41,-56,1
rnbqkb1r/pp3ppp/4pn2/2Pp4/5B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 5,Nc6,-43,26,69,1
r1bqkb1r/pp3ppp/2n1pn2/2Pp4/5B2/2P1P3/PP3PPP/RN1QKBNR w KQkq - 1 6,Bb5,24,-50,-74,1
r1bqkb1r/pp3ppp/2n1pn2/1BPp4/5B2/2P1P3/PP3PPP/RN1QK1NR b KQkq - 2 6,Bd7,-52,57,109,1
r2qkb1r/pp1b1ppp/2n1pn2/1BPp4/5B2/2P1P3/PP3PPP/RN1QK1NR w KQkq - 3 7,Nf3,43,-30,-73,1
r2qkb1r/pp1b1ppp/2n1pn2/1BPp4/5B2/2P1PN2/PP3PPP/RN1QK2R b KQkq - 4 7,Bxc5,-34,-28,6,1
r2qk2r/pp1b1ppp/2n1pn2/1Bbp4/5B2/2P1PN2/PP3PPP/RN1QK2R w KQkq - 0 8,Nd4,-34,-90,-56,1
r2qk2r/pp1b1ppp/2n1pn2/1Bbp4/3N1B2/2P1P3/PP3PPP/RN1QK2R b KQkq - 1 8,O-O,-76,-54,22,1
r2q1rk1/pp1b1ppp/2n1pn2/1Bbp4/3N1B2/2P1P3/PP3PPP/RN1QK2R w KQ - 2 9,Bxc6,-49,-90,-41,1
r2q1rk1/pp1b1ppp/2B1pn2/2bp4/3N1B2/2P1P3/PP3PPP/RN1QK2R b KQ - 0 9,bxc6,-91,-108,-17,1
r2q1rk1/p2b1ppp/2p1pn2/2bp4/3N1B2/2P1P3/PP3PPP/RN1QK2R w KQ - 0 10,Nd2,-94,-102,-8,1
r2q1rk1/p2b1ppp/2p1pn2/2bp4/3N1B2/2P1P3/PP1N1PPP/R2QK2R b KQ - 1 10,Re8,-107,-77,30,1
r2qr1k1/p2b1ppp/2p1pn2/2bp4/3N1B2/2P1P3/PP1N1PPP/R2QK2R w KQ - 2 11,N2f3,-75,-133,-58,1
r2qr1k1/p2b1ppp/2p1pn2/2bp4/3N1B2/2P1PN2/PP3PPP/R2QK2R b KQ - 3 11,Nh5,-133,-111,22,1
r2qr1k1/p2b1ppp/2p1p3/2bp3n/3N1B2/2P1PN2/PP3PPP/R2QK2R w KQ - 4 12,Ne2,-130,-168,-38,1
r2qr1k1/p2b1ppp/2p1p3/2bp3n/5B2/2P1PN2/PP2NPPP/R2QK2R b KQ - 5 12,Nxf4,-159,-181,-22,1
r2qr1k1/p2b1ppp/2p1p3/2bp4/5n2/2P1PN2/PP2NPPP/R2QK2R w KQ - 0 13,Nxf4,-183,-230,-47,1
r2qr1k1/p2b1ppp/2p1p3/2bp4/5N2/2P1PN2/PP3PPP/R2QK2R b KQ - 0 13,e5,-219,-229,-10,1
r2qr1k1/p2b1ppp/2p5/2bpp3/5N2/2P1PN2/PP3PPP/R2QK2R w KQ - 0 14,Nd3,-202,-331,-129,0
r2qr1k1/p2b1ppp/2p5/2bpp3/8/2PNPN2/PP3PPP/R2QK2R b KQ - 1 14,Bd6,-295,-296,-1,1
r2qr1k1/p2b1ppp/2pb4/3pp3/8/2PNPN2/PP3PPP/R2QK2R w KQ - 2 15,Nd2,-297,-302,-5,1
r2qr1k1/p2b1ppp/2pb4/3pp3/8/2PNP3/PP1N1PPP/R2QK2R b KQ - 3 15,e4,-318,-316,2,1
r2qr1k1/p2b1ppp/2pb4/3p4/4p3/2PNP3/PP1N1PPP/R2QK2R w KQ - 0 16,Nc1,-304,-302,2,1
r2qr1k1/p2b1ppp/2pb4/3p4/4p3/2P1P3/PP1N1PPP/R1NQK2R b KQ - 1 16,f5,-309,-191,118,1
r2qr1k1/p2b2pp/2pb4/3p1p2/4p3/2P1P3/PP1N1PPP/R1NQK2R w KQ - 0 17,Ne2,-203,-211,-8,1
r2qr1k1/p2b2pp/2pb4/3p1p2/4p3/2P1P3/PP1NNPPP/R2QK2R b KQ - 1 17,Rf8,-208,-129,79,1
r2q1rk1/p2b2pp/2pb4/3p1p2/4p3/2P1P3/PP1NNPPP/R2QK2R w KQ - 2 18,Nb3,-151,-218,-67,1
r2q1rk1/p2b2pp/2pb4/3p1p2/4p3/1NP1P3/PP2NPPP/R2QK2R b KQ - 3 18,a5,-239,-207,32,1
r2q1rk1/3b2pp/2pb4/p2p1p2/4p3/1NP1P3/PP2NPPP/R2QK2R w KQ - 0 19,Nf4,-193,-256,-63,1
r2q1rk1/3b2pp/2pb4/p2p1p2/4pN2/1NP1P3/PP3PPP/R2QK2R b KQ - 1 19,g5,-248,-319,-71,1
r2q1rk1/3b3p/2pb4/p2p1pp1/4pN2/1NP1P3/PP3PPP/R2QK2R w KQ - 0 20,Nxd5,-309,-391,-82,1
r2q1rk1/3b3p/2pb4/p2N1pp1/4p3/1NP1P3/PP3PPP/R2QK2R b KQ - 0 20,Be6,-127,-18,109,1
r2q1rk1/7p/2pbb3/p2N1pp1/4p3/1NP1P3/PP3PPP/R2QK2R w KQ - 1 21,c4,0,-432,-432,0
r2q1rk1/7p/2pbb3/p2N1pp1/2P1p3/1N2P3/PP3PPP/R2QK2R b KQ - 0 21,cxd5,-474,-446,28,1
r2q1rk1/7p/3bb3/p2p1pp1/2P1p3/1N2P3/PP3PPP/R2QK2R w KQ - 0 22,cxd5,-435,-472,-37,1
r2q1rk1/7p/3bb3/p2P1pp1/4p3/1N2P3/PP3PPP/R2QK2R b KQ - 0 22,Bd7,-546,-426,120,1
r2q1rk1/3b3p/3b4/p2P1pp1/4p3/1N2P3/PP3PPP/R2QK2R w KQ - 1 23,O-O,-435,-419,16,1
r2q1rk1/3b3p/3b4/p2P1pp1/4p3/1N2P3/PP3PPP/R2Q1RK1 b - - 2 23,f4,-414,-389,25,1
r2q1rk1/3b3p/3b4/p2P2p1/4pp2/1N2P3/PP3PPP/R2Q1RK1 w - - 0 24,Qh5,-392,-435,-43,1
r2q1rk1/3b3p/3b4/p2P2pQ/4pp2/1N2P3/PP3PPP/R4RK1 b - - 1 24,f3,-427,-406,21,1
r2q1rk1/3b3p/3b4/p2P2pQ/4p3/1N2Pp2/PP3PPP/R4RK1 w - - 0 25,gxf3,-385,-545,-160,0
r2q1rk1/3b3p/3b4/p2P2pQ/4p3/1N2PP2/PP3P1P/R4RK1 b - - 0 25,Rxf3,-473,-473,0,1
r2q2k1/3b3p/3b4/p2P2pQ/4p3/1N2Pr2/PP3P1P/R4RK1 w - - 0 26,Nd2,-474,-573,-99,1
r2q2k1/3b3p/3b4/p2P2pQ/4p3/4Pr2/PP1N1P1P/R4RK1 b - - 1 26,Rh3,-590,-553,37,1
r2q2k1/3b3p/3b4/p2P2pQ/4p3/4P2r/PP1N1P1P/R4RK1 w - - 2 27,Qe2,-582,-553,29,1
r2q2k1/3b3p/3b4/p2P2p1/4p3/4P2r/PP1NQP1P/R4RK1 b - - 3 27,Bxh2+,-565,-559,6,1
r2q2k1/3b3p/8/p2P2p1/4p3/4P2r/PP1NQP1b/R4RK1 w - - 0 28,Kg2,-535,-541,-6,1
r2q2k1/3b3p/8/p2P2p1/4p3/4P2r/PP1NQPKb/R4R2 b - - 1 28,Bd6,-553,-409,144,1
r2q2k1/3b3p/3b4/p2P2p1/4p3/4P2r/PP1NQPK1/R4R2 w - - 2 29,Nxe4,-333,-506,-173,0
r2q2k1/3b3p/3b4/p2P2p1/4N3/4P2r/PP2QPK1/R4R2 b - - 0 29,Rh2+,-521,-497,24,1
r2q2k1/3b3p/3b4/p2P2p1/4N3/4P3/PP2QPKr/R4R2 w - - 1 30,Kg1,-523,-525,-2,1
r2q2k1/3b3p/3b4/p2P2p1/4N3/4P3/PP2QP1r/R4RK1 b - - 2 30,Be5,-499,-402,97,1
r2q2k1/3b3p/8/p2Pb1p1/4N3/4P3/PP2QP1r/R4RK1 w - - 3 31,Qe1,-353,-547,-194,0
r2q2k1/3b3p/8/p2Pb1p1/4N3/4P3/PP3P1r/R3QRK1 b - - 4 31,Bh3,-560,-340,220,1
r2q2k1/7p/8/p2Pb1p1/4N3/4P2b/PP3P1r/R3QRK1 w - - 5 32,f4,-430,-462,-32,1
r2q2k1/7p/8/p2Pb1p1/4NP2/4P2b/PP5r/R3QRK1 b - - 0 32,Rg2+,-503,-521,-18,1
r2q2k1/7p/8/p2Pb1p1/4NP2/4P2b/PP4r1/R3QRK1 w - - 1 33,Kh1,-528,-547,-19,1
r2q2k1/7p/8/p2Pb1p1/4NP2/4P2b/PP4r1/R3QR1K b - - 2 33,gxf4,-538,-420,118,1
r2q2k1/7p/8/p2Pb3/4Np2/4P2b/PP4r1/R3QR1K w - - 0 34,exf4,-385,-399,-14,1
r2q2k1/7p/8/p2Pb3/4NP2/7b/PP4r1/R3QR1K b - - 0 34,Bd4,-430,-304,126,1
r2q2k1/7p/8/p2P4/3bNP2/7b/PP4r1/R3QR1K w - - 1 35,Qh4,-263,-946,-683,0
r2q2k1/7p/8/p2P4/3bNP1Q/7b/PP4r1/R4R1K b - - 2 35,Qxh4,-1052,-9993,-8941,0
r5k1/7p/8/p2P4/3bNP1q/7b/PP4r1/R4R1K w - - 0 36,Ng5,-9993,-9997,-4,1
r5k1/7p/8/p2P2N1/3b1P1q/7b/PP4r1/R4R1K b - - 1 36,Bg4+,-9997,-809,9188,1
r5k1/7p/8/p2P2N1/3b1Pbq/8/PP4r1/R4R1K w - - 2 37,Kxg2,-829,-824,5,1
r5k1/7p/8/p2P2N1/3b1Pbq/8/PP4K1/R4R2 b - - 0 37,Qh5,-924,-590,334,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,32,33,1,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,26,30,4,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,26,36,10,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Nc6,27,27,0,1
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,d4,45,14,-31,1
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,d6,23,91,68,1
r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,dxe5,85,50,-35,1
r1bqkbnr/ppp2ppp/2np4/4P3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,dxe5,31,37,6,1
r1bqkbnr/ppp2ppp/2n5/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,Qxd8+,34,32,-2,1
r1bQkbnr/ppp2ppp/2n5/4p3/4P3/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 5,Kxd8,40,56,16,1
r1bk1bnr/ppp2ppp/2n5/4p3/4P3/5N2/PPP2PPP/RNB1KB1R w KQ - 0 6,Bc4,57,24,-33,1
r1bk1bnr/ppp2ppp/2n5/4p3/2B1P3/5N2/PPP2PPP/RNB1K2R b KQ - 1 6,Be6,23,98,75,1
r2k1bnr/ppp2ppp/2n1b3/4p3/2B1P3/5N2/PPP2PPP/RNB1K2R w KQ - 2 7,Bxe6,120,125,5,1
r2k1bnr/ppp2ppp/2n1B3/4p3/4P3/5N2/PPP2PPP/RNB1K2R b KQ - 0 7,fxe6,114,125,11,1
r2k1bnr/ppp3pp/2n1p3/4p3/4P3/5N2/PPP2PPP/RNB1K2R w KQ - 0 8,Be3,121,98,-23,1
r2k1bnr/ppp3pp/2n1p3/4p3/4P3/4BN2/PPP2PPP/RN2K2R b KQ - 1 8,Bd6,88,96,8,1
r2k2nr/ppp3pp/2nbp3/4p3/4P3/4BN2/PPP2PPP/RN2K2R w KQ - 2 9,Nc3,101,50,-51,1
r2k2nr/ppp3pp/2nbp3/4p3/4P3/2N1BN2/PPP2PPP/R3K2R b KQ - 3 9,Nf6,34,35,1,1
r2k3r/ppp3pp/2nbpn2/4p3/4P3/2N1BN2/PPP2PPP/R3K2R w KQ - 4 10,O-O-O,28,23,-5,1
r2k3r/ppp3pp/2nbpn2/4p3/4P3/2N1BN2/PPP2PPP/2KR3R b - - 5 10,Ke7,23,28,5,1
r6r/ppp1k1pp/2nbpn2/4p3/4P3/2N1BN2/PPP2PPP/2KR3R w - - 6 11,a3,32,25,-7,1
r6r/ppp1k1pp/2nbpn2/4p3/4P3/P1N1BN2/1PP2PPP/2KR3R b - - 0 11,Rhd8,21,36,15,1
r2r4/ppp1k1pp/2nbpn2/4p3/4P3/P1N1BN2/1PP2PPP/2KR3R w - - 1 12,Bg5,35,-20,-55,1
r2r4/ppp1k1pp/2nbpn2/4p1B1/4P3/P1N2N2/1PP2PPP/2KR3R b - - 2 12,h6,-19,-21,-2,1
r2r4/ppp1k1p1/2nbpn1p/4p1B1/4P3/P1N2N2/1PP2PPP/2KR3R w - - 0 13,Bxf6+,-19,-48,-29,1
r2r4/ppp1k1p1/2nbpB1p/4p3/4P3/P1N2N2/1PP2PPP/2KR3R b - - 0 13,gxf6,-46,-54,-8,1
r2r4/ppp1k3/2nbpp1p/4p3/4P3/P1N2N2/1PP2PPP/2KR3R w - - 0 14,Rd2,-53,-52,1,1
r2r4/ppp1k3/2nbpp1p/4p3/4P3/P1N2N2/1PPR1PPP/2K4R b - - 1 14,Nd4,-54,-61,-7,1
r2r4/ppp1k3/3bpp1p/4p3/3nP3/P1N2N2/1PPR1PPP/2K4R w - - 2 15,Nxd4,-37,-36,1,1
r2r4/ppp1k3/3bpp1p/4p3/3NP3/P1N5/1PPR1PPP/2K4R b - - 0 15,exd4,-57,-60,-3,1
r2r4/ppp1k3/3bpp1p/8/3pP3/P1N5/1PPR1PPP/2K4R w - - 0 16,Rxd4,-46,-428,-382,0
r2r4/ppp1k3/3bpp1p/8/3RP3/P1N5/1PP2PPP/2K4R b - - 0 16,Bf4+,-478,-507,-29,1
r2r4/ppp1k3/4pp1p/8/3RPb2/P1N5/1PP2PPP/2K4R w - - 1 17,Kb1,-540,-517,23,1
r2r4/ppp1k3/4pp1p/8/3RPb2/P1N5/1PP2PPP/1K5R b - - 2 17,Rxd4,-507,-528,-21,1
r7/ppp1k3/4pp1p/8/3rPb2/P1N5/1PP2PPP/1K5R w - - 0 18,Rd1,-538,-602,-64,1
r7/ppp1k3/4pp1p/8/3rPb2/P1N5/1PP2PPP/1K1R4 b - - 1 18,Rxd1+,-587,-608,-21,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,27,13,-14,1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,Nf6,12,29,17,1
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,c4,16,15,-1,1
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,e6,16,16,0,1
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,18,13,-5,1
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,d5,20,29,9,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Bg5,25,18,-7,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 1 4,Be7,18,33,15,1
